Date,Open,High,Low,Close,Volume,Adj Close
2016-09-05,169.27,169.36,169.26,169.34,000,169.34
2016-09-02,169.22,169.27,169.21,169.24,000,169.24
2016-09-01,169.30,169.30,169.19,169.19,000,169.19
2016-08-31,169.50,169.50,169.36,169.36,000,169.36
2016-08-30,169.46,169.51,169.46,169.47,000,169.47
2016-08-29,169.45,169.55,169.44,169.55,000,169.55
2016-08-26,169.50,169.56,169.49,169.56,000,169.56
2016-08-25,169.49,169.51,169.45,169.51,000,169.51
2016-08-24,169.50,169.54,169.49,169.51,000,169.51
2016-08-23,169.52,169.55,169.48,169.53,000,169.53
2016-08-22,169.49,169.53,169.49,169.51,000,169.51
2016-08-19,169.49,169.52,169.40,169.43,000,169.43
2016-08-18,169.48,169.52,169.46,169.51,000,169.51
2016-08-17,169.40,169.41,169.36,169.40,000,169.40
2016-08-16,169.50,169.50,169.33,169.33,000,169.33
2016-08-15,169.52,169.55,169.45,169.45,000,169.45
2016-08-12,169.52,169.56,169.51,169.56,000,169.56
2016-08-11,169.58,169.61,169.58,169.58,200,169.58
2016-08-10,169.46,169.57,169.46,169.56,000,169.56
2016-08-09,169.49,169.49,169.39,169.47,000,169.47
2016-08-08,169.38,169.44,169.37,169.44,000,169.44
2016-08-05,169.37,169.42,169.37,169.39,000,169.39
2016-08-04,169.18,169.38,169.18,169.38,000,169.38
2016-08-03,169.19,169.21,169.16,169.16,000,169.16
2016-08-01,169.32,169.37,169.32,169.33,000,169.33
2016-07-29,169.22,169.36,169.20,169.36,800,169.36
2016-07-28,169.24,169.24,169.19,169.24,000,169.24
2016-07-27,169.22,169.30,169.21,169.30,000,169.30
2016-07-26,169.22,169.22,169.18,169.18,000,169.18
2016-07-25,169.15,169.21,169.13,169.21,000,169.21
2016-07-22,169.14,169.16,169.08,169.15,000,169.15
2016-07-21,169.09,169.17,169.07,169.17,000,169.17
2016-07-20,169.21,169.23,169.15,169.19,000,169.19
2016-07-19,169.23,169.23,169.19,169.21,000,169.21
2016-07-18,169.21,169.25,169.17,169.17,000,169.17
2016-07-15,169.23,169.23,169.11,169.11,000,169.11
2016-07-14,169.31,169.34,169.21,169.23,000,169.23
2016-07-13,169.36,169.36,169.31,169.36,000,169.36
2016-07-12,169.39,169.39,169.30,169.30,000,169.30
2016-07-11,169.43,169.43,169.37,169.39,000,169.39
2016-07-08,169.32,169.41,169.32,169.41,000,169.41
2016-07-07,169.30,169.30,169.25,169.28,000,169.28
2016-07-06,169.37,169.48,169.37,169.37,000,169.37
2016-07-05,169.36,169.39,169.33,169.39,000,169.39
2016-07-04,169.33,169.38,169.33,169.38,000,169.38
2016-07-01,169.27,169.36,169.27,169.36,000,169.36
2016-06-30,168.97,169.15,168.97,169.15,000,169.15
2016-06-29,169.05,169.05,168.94,169.02,000,169.02
2016-06-28,168.73,168.92,168.73,168.92,000,168.92
2016-06-27,168.23,168.62,168.23,168.57,000,168.57
2016-06-24,168.24,168.38,168.24,168.30,000,168.30
2016-06-23,168.44,168.44,168.36,168.41,000,168.41
2016-06-22,168.43,168.45,168.39,168.39,000,168.39
2016-06-21,168.41,168.46,168.40,168.43,000,168.43
2016-06-20,168.30,168.44,168.30,168.44,000,168.44
2016-06-17,168.11,168.25,168.11,168.25,000,168.25
2016-06-16,168.12,168.12,168.00,168.05,000,168.05
2016-06-15,168.11,168.21,168.09,168.20,000,168.20
2016-06-14,168.16,168.22,168.12,168.12,000,168.12
2016-06-13,168.84,168.84,168.18,168.18,000,168.18
2016-06-10,168.49,168.49,168.38,168.40,000,168.40
2016-06-09,168.53,168.55,168.50,168.50,000,168.50
2016-06-08,168.36,168.36,168.33,168.33,000,168.33
2016-06-07,168.32,168.43,168.32,168.43,000,168.43
